Provider ,Course Name ,Skills,Ratings,Levels,Links
Google,Google Cybersecurity,"Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8(24K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-cybersecurity
Google,Google Data Analytics,"Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8(140K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-data-analytics
Google,Google Project Management:,"Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",4.8(103K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-project-management
IBM,IBM Data Science,"Python Programming, Machine Learning, Data Science, Data Analysis, Algorithms, Data Analysis Software, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Database Administration, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",4.6(122K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/ibm-data-science
Google,Google Digital Marketing & E-commerce,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",4.8(24K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-digital-marketing-ecommerce
IBM,IBM Data Analyst,"Python Programming, Microsoft Excel, Data Visualization, Data Analysis, Spreadsheet Software, Data Management, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Data Analysis Software, Machine Learning, Computer Programming, Database Administration, Database Application, Professional Development, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",4.6(74K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/ibm-data-analyst
Google,Google IT Support,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",4.8(185K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-it-support
Google,Google UX Design,"User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Visual Design, Web Design, Web Development Tools",4.8(77K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/google-ux-design
Multiple educators,Machine Learning,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",4.9(21K reviews),Beginner  ‚ · Specialization  ‚ · 1 - 3 Months,coursera.org/specializations/machine-learning-introduction
IBM,IBM DevOps and Software Engineering,"DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Product Management, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6(45K reviews),Beginner  ‚ · Professional Certificate  ‚ · 3 - 6 Months,coursera.org/professional-certificates/devops-and-software-engineering
